"particle_id","centroid_y","centroid_x","tile_row","tile_col","local_y","local_x","area_px","max_intensity","mean_intensity","integrated_intensity","bbox_width","bbox_height","equivalent_diameter","aspect_ratio","x_um","y_um","feret_max_um","feret_min_um","area_um2"
1,12.7,2041.24,0,3,12.7,241.24,67,140.67,94.87,6356.45,9,13,9.24,1.44,11056.7166666667,12931.2083333333,70.4166666666667,48.75,1965.79861111111
2,23.74,1339.13,0,2,23.74,139.13,23,113.65,68.39,1572.87,5,7,5.41,1.4,7253.62083333333,12871.4083333333,37.9166666666667,27.0833333333333,674.826388888889
3,53.48,1391.18,0,2,53.48,191.18,44,184.35,107.05,4710.15,9,7,7.48,1.29,7535.55833333333,12710.3166666667,48.75,37.9166666666667,1290.97222222222
4,59.35,1257.7,0,2,59.35,57.7,23,114.02,79.34,1824.87,6,6,5.41,1,6812.54166666667,12678.5208333333,32.5,32.5,674.826388888889
5,82.55,964.59,0,1,82.55,364.59,29,85.49,64.4,1867.68,6,6,6.08,1,5224.8625,12552.8541666667,32.5,32.5,850.868055555556
6,95.62,1017.62,0,1,95.62,417.62,66,170.22,112.94,7454.28,8,12,9.17,1.5,5512.10833333333,12482.0583333333,65,43.3333333333333,1936.45833333333
7,108.44,1466.64,0,2,108.44,266.64,25,88.24,69.01,1725.22,8,4,5.64,2,7944.3,12412.6166666667,43.3333333333333,21.6666666666667,733.506944444445
8,123.29,1000.51,0,1,123.29,400.51,35,90.16,65.75,2301.29,8,6,6.68,1.33,5419.42916666667,12332.1791666667,43.3333333333333,32.5,1026.90972222222
9,130.62,1418.66,0,2,130.62,218.66,29,97.36,70.07,2031.94,9,5,6.08,1.8,7684.40833333333,12292.475,48.75,27.0833333333333,850.868055555556
10,135.41,1641.04,0,2,135.41,441.04,27,90.92,71.76,1937.4,5,6,5.86,1.2,8888.96666666667,12266.5291666667,32.5,27.0833333333333,792.1875
11,137.96,1478.11,0,2,137.96,278.11,27,105.81,69.47,1875.82,7,6,5.86,1.17,8006.42916666667,12252.7166666667,37.9166666666667,32.5,792.1875
12,170.83,843.66,0,1,170.83,243.66,207,184.38,121.04,25055.12,20,17,16.23,1.18,4569.825,12074.6708333333,108.333333333333,92.0833333333333,6073.4375
13,182.84,790.4,0,1,182.84,190.4,817,222.77,168.33,137521.92,45,25,32.25,1.8,4281.33333333333,12009.6166666667,243.75,135.416666666667,23971.0069444444
14,175.62,1715.99,0,2,175.62,515.99,81,138.47,92.52,7494.35,10,13,10.16,1.3,9294.94583333333,12048.725,70.4166666666667,54.1666666666667,2376.5625
15,192.73,731.13,0,1,192.73,131.13,308,191.76,120.71,37177.16,30,17,19.8,1.76,3960.2875,11956.0458333333,162.5,92.0833333333333,9036.80555555556
16,205.05,903.49,0,1,205.05,303.49,98,170.47,89.08,8730.32,11,13,11.17,1.18,4893.90416666667,11889.3125,70.4166666666667,59.5833333333333,2875.34722222222
17,205.3,988.94,0,1,205.3,388.94,63,132.3,86.2,5430.81,10,9,8.96,1.11,5356.75833333333,11887.9583333333,54.1666666666667,48.75,1848.4375
18,214.57,974.43,0,1,214.57,374.43,35,88.7,66.64,2332.25,6,6,6.68,1,5278.1625,11837.7458333333,32.5,32.5,1026.90972222222
19,253.57,958.87,0,1,253.57,358.87,371,169.72,97.04,36003.48,63,46,21.73,1.37,5193.87916666667,11626.4958333333,341.25,249.166666666667,10885.2430555556
20,236.97,891.94,0,1,236.97,291.94,31,84.93,66.98,2076.36,8,5,6.28,1.6,4831.34166666667,11716.4125,43.3333333333333,27.0833333333333,909.548611111111
21,250.03,1245.69,0,2,250.03,45.69,29,116.54,83.32,2416.24,7,6,6.08,1.17,6747.4875,11645.6708333333,37.9166666666667,32.5,850.868055555556
22,259.48,915.79,0,1,259.48,315.79,33,99.77,72.05,2377.62,8,6,6.48,1.33,4960.52916666667,11594.4833333333,43.3333333333333,32.5,968.229166666667
23,268.17,681.43,0,1,268.17,81.43,210,195.89,134.52,28249,19,16,16.35,1.19,3691.07916666667,11547.4125,102.916666666667,86.6666666666667,6161.45833333333
24,266.79,752.46,0,1,266.79,152.46,24,102.23,74.48,1787.44,7,5,5.53,1.4,4075.825,11554.8875,37.9166666666667,27.0833333333333,704.166666666667
25,291.74,657.68,0,1,291.74,57.68,31,139.45,69.72,2161.27,6,8,6.28,1.33,3562.43333333333,11419.7416666667,43.3333333333333,32.5,909.548611111111
26,290.5,1847.71,0,3,290.5,47.71,24,170.35,113.34,2720.12,5,6,5.53,1.2,10008.4291666667,11426.4583333333,32.5,27.0833333333333,704.166666666667
27,293.33,606.81,0,1,293.33,6.81,21,136.38,86.18,1809.77,5,6,5.17,1.2,3286.8875,11411.1291666667,32.5,27.0833333333333,616.145833333333
28,333.07,588.03,0,0,333.07,588.03,955,202.22,102.47,97858.53,69,66,34.87,1.05,3185.1625,11195.8708333333,373.75,357.5,28019.9652777778
29,300.74,1202.93,0,2,300.74,2.93,27,103.54,76.79,2073.37,7,7,5.86,1,6515.87083333333,11370.9916666667,37.9166666666667,37.9166666666667,792.1875
30,300.61,1579.58,0,2,300.61,379.58,31,106.06,74.85,2320.49,8,6,6.28,1.33,8556.05833333333,11371.6958333333,43.3333333333333,32.5,909.548611111111
31,306.83,1246.69,0,2,306.83,46.69,36,113.8,76.64,2759.07,7,8,6.77,1.14,6752.90416666667,11338.0041666667,43.3333333333333,37.9166666666667,1056.25
32,314.74,1373.65,0,2,314.74,173.65,43,171.78,103.99,4471.4,8,9,7.4,1.12,7440.60416666667,11295.1583333333,48.75,43.3333333333333,1261.63194444444
33,341.37,1818.66,0,3,341.37,18.66,35,189.42,121.57,4254.96,8,6,6.68,1.33,9851.075,11150.9125,43.3333333333333,32.5,1026.90972222222
34,355.65,963.97,0,1,355.65,363.97,34,95.69,69.24,2354.24,7,7,6.58,1,5221.50416666667,11073.5625,37.9166666666667,37.9166666666667,997.569444444445
35,363.56,833.81,0,1,363.56,233.81,214,188.31,110.47,23641.55,34,16,16.51,2.12,4516.47083333333,11030.7166666667,184.166666666667,86.6666666666667,6278.81944444445
36,358.76,880.6,0,1,358.76,280.6,25,129.3,86.9,2172.52,6,6,5.64,1,4769.91666666667,11056.7166666667,32.5,32.5,733.506944444445
37,360.51,1333.01,0,2,360.51,133.01,67,104.04,63.86,4278.66,10,11,9.24,1.1,7220.47083333333,11047.2375,59.5833333333333,54.1666666666667,1965.79861111111
38,368.75,460.4,0,0,368.75,460.4,20,83.05,62.57,1251.31,6,5,5.05,1.2,2493.83333333333,11002.6041666667,32.5,27.0833333333333,586.805555555556
39,381.71,896.13,0,1,381.71,296.13,84,218.19,140.46,11798.54,11,11,10.34,1,4854.0375,10932.4041666667,59.5833333333333,59.5833333333333,2464.58333333333
40,384.16,1601.24,0,2,384.16,401.24,25,160.47,104.27,2606.7,5,7,5.64,1.4,8673.38333333333,10919.1333333333,37.9166666666667,27.0833333333333,733.506944444445
41,385.67,1043.41,0,1,385.67,443.41,54,98.34,67.67,3653.96,8,9,8.29,1.12,5651.80416666667,10910.9541666667,48.75,43.3333333333333,1584.375
42,385.75,1615.7,0,2,385.75,415.7,20,84.73,66.64,1332.77,6,4,5.05,1.5,8751.70833333333,10910.5208333333,32.5,21.6666666666667,586.805555555556
43,390.5,1530,0,2,390.5,330,26,103.34,73.7,1916.15,7,6,5.75,1.17,8287.5,10884.7916666667,37.9166666666667,32.5,762.847222222222
44,394.69,505.17,0,0,394.69,505.17,36,102.1,70.17,2526.16,8,6,6.77,1.33,2736.3375,10862.0958333333,43.3333333333333,32.5,1056.25
45,397.81,1130.88,0,1,397.81,530.88,26,96.75,62.93,1636.12,7,5,5.75,1.4,6125.6,10845.1958333333,37.9166666666667,27.0833333333333,762.847222222222
46,404.39,633.39,0,1,404.39,33.39,57,111.28,75.6,4309.22,8,10,8.52,1.25,3430.8625,10809.5541666667,54.1666666666667,43.3333333333333,1672.39583333333
47,407.56,1508.44,0,2,407.56,308.44,117,155.22,83.95,9822.28,14,13,12.21,1.08,8170.71666666667,10792.3833333333,75.8333333333333,70.4166666666667,3432.8125
48,407.38,497.31,0,0,407.38,497.31,29,82.57,67.37,1953.77,7,6,6.08,1.17,2693.7625,10793.3583333333,37.9166666666667,32.5,850.868055555556
49,421.61,516.71,0,0,421.61,516.71,41,94.99,67.94,2785.73,8,7,7.23,1.14,2798.84583333333,10716.2791666667,43.3333333333333,37.9166666666667,1202.95138888889
50,422.17,1765.93,0,2,422.17,565.93,29,111.08,78.14,2266.06,5,7,6.08,1.4,9565.45416666667,10713.2458333333,37.9166666666667,27.0833333333333,850.868055555556
51,427.35,1037.44,0,1,427.35,437.44,66,94.75,68.13,4496.55,14,8,9.17,1.75,5619.46666666667,10685.1875,75.8333333333333,43.3333333333333,1936.45833333333
52,450.77,602.5,0,1,450.77,2.5,2001,222.99,156.84,313827.23,60,51,50.48,1.18,3263.54166666667,10558.3291666667,325,276.25,58709.8958333333
53,429.5,1685.29,0,2,429.5,485.29,28,92.51,72.94,2042.25,8,6,5.97,1.33,9128.65416666667,10673.5416666667,43.3333333333333,32.5,821.527777777778
54,431.03,1962.9,0,3,431.03,162.9,31,106.53,63.48,1967.8,10,5,6.28,2,10632.375,10665.2541666667,54.1666666666667,27.0833333333333,909.548611111111
55,433.81,438.44,0,0,433.81,438.44,36,94.04,66.32,2387.58,6,8,6.77,1.33,2374.88333333333,10650.1958333333,43.3333333333333,32.5,1056.25
56,433.94,971.58,0,1,433.94,371.58,33,92.32,67.4,2224.36,6,7,6.48,1.17,5262.725,10649.4916666667,37.9166666666667,32.5,968.229166666667
57,435.5,1471.13,0,2,435.5,271.13,52,132.34,79.74,4146.4,8,9,8.14,1.12,7968.62083333333,10641.0416666667,48.75,43.3333333333333,1525.69444444444
58,439.59,2013.41,0,3,439.59,213.41,34,97.87,64.98,2209.17,8,6,6.58,1.33,10905.9708333333,10618.8875,43.3333333333333,32.5,997.569444444445
59,443,1977.37,0,3,443,177.37,27,97.52,77.21,2084.7,7,5,5.86,1.4,10710.7541666667,10600.4166666667,37.9166666666667,27.0833333333333,792.1875
60,450.17,1042.37,0,1,450.17,442.37,59,152.55,91.08,5373.52,7,12,8.67,1.71,5646.17083333333,10561.5791666667,65,37.9166666666667,1731.07638888889
61,457.76,778.9,0,1,457.76,178.9,29,117.27,75.23,2181.76,6,7,6.08,1.17,4219.04166666667,10520.4666666667,37.9166666666667,32.5,850.868055555556
62,458.31,706.42,0,1,458.31,106.42,26,95.26,74.06,1925.66,6,6,5.75,1,3826.44166666667,10517.4875,32.5,32.5,762.847222222222
63,459.56,2109.41,0,3,459.56,309.41,27,94.86,67.75,1829.35,6,6,5.86,1,11425.9708333333,10510.7166666667,32.5,32.5,792.1875
64,466.64,1622.17,0,2,466.64,422.17,236,196.75,105.7,24945.52,40,17,17.33,2.35,8786.75416666667,10472.3666666667,216.666666666667,92.0833333333333,6924.30555555556
65,477,514.89,0,0,477,514.89,37,93.01,66.87,2474.04,7,7,6.86,1,2788.9875,10416.25,37.9166666666667,37.9166666666667,1085.59027777778
66,476.65,1056.15,0,1,476.65,456.15,20,139.7,92.6,1852.05,7,4,5.05,1.75,5720.8125,10418.1458333333,37.9166666666667,21.6666666666667,586.805555555556
67,481.62,1015.56,0,1,481.62,415.56,66,117.33,81.39,5371.92,9,11,9.17,1.22,5500.95,10391.225,59.5833333333333,48.75,1936.45833333333
68,479.5,525.23,0,0,479.5,525.23,26,164.5,104.02,2704.57,7,4,5.75,1.75,2844.99583333333,10402.7083333333,37.9166666666667,21.6666666666667,762.847222222222
69,551.05,312.92,0,0,551.05,312.92,5811,221.11,170.83,992680.07,69,148,86.02,2.14,1694.98333333333,10015.1458333333,801.666666666667,373.75,170496.354166667
70,484.09,854.26,0,1,484.09,254.26,43,142.85,91.07,3916.2,8,9,7.4,1.12,4627.24166666667,10377.8458333333,48.75,43.3333333333333,1261.63194444444
71,485.22,1565.26,0,2,485.22,365.26,23,96.81,67.63,1555.46,5,6,5.41,1.2,8478.49166666667,10371.725,32.5,27.0833333333333,674.826388888889
72,494.43,1874.33,0,3,494.43,74.33,21,147.07,98.19,2061.96,6,5,5.17,1.2,10152.6208333333,10321.8375,32.5,27.0833333333333,616.145833333333
73,496.18,357.57,0,0,496.18,357.57,28,97.2,72.35,2025.83,6,6,5.97,1,1936.8375,10312.3583333333,32.5,32.5,821.527777777778
74,498.38,1012.78,0,1,498.38,412.78,32,89.36,68.27,2184.6,6,6,6.38,1,5485.89166666667,10300.4416666667,32.5,32.5,938.888888888889
75,502.81,452.25,0,0,502.81,452.25,97,199.34,134.78,13073.72,13,11,11.11,1.18,2449.6875,10276.4458333333,70.4166666666667,59.5833333333333,2846.00694444444
76,508.97,1086.73,0,1,508.97,486.73,30,82.78,64.27,1928.16,7,5,6.18,1.4,5886.45416666667,10243.0791666667,37.9166666666667,27.0833333333333,880.208333333333
77,511.14,1271,0,2,511.14,71,29,103.63,78.56,2278.15,7,5,6.08,1.4,6884.58333333333,10231.325,37.9166666666667,27.0833333333333,850.868055555556
78,521.8,874.6,0,1,521.8,274.6,25,116.4,86.47,2161.72,5,7,5.64,1.4,4737.41666666667,10173.5833333333,37.9166666666667,27.0833333333333,733.506944444445
79,525.79,1063.2,0,1,525.79,463.2,89,208.93,130.22,11589.69,12,11,10.65,1.09,5759,10151.9708333333,65,59.5833333333333,2611.28472222222
80,528.03,1177.73,0,1,528.03,577.73,30,79.11,60.57,1817.19,8,7,6.18,1.14,6379.37083333333,10139.8375,43.3333333333333,37.9166666666667,880.208333333333
81,543.14,1034.5,0,1,543.14,434.5,124,149.25,85.46,10596.94,16,32,12.57,2,5603.54166666667,10057.9916666667,173.333333333333,86.6666666666667,3638.19444444444
82,529.93,522.59,0,0,529.93,522.59,29,158.24,103.19,2992.44,8,5,6.08,1.6,2830.69583333333,10129.5458333333,43.3333333333333,27.0833333333333,850.868055555556
83,535,631.67,0,1,535,31.67,55,123.06,76.41,4202.35,10,9,8.37,1.11,3421.54583333333,10102.0833333333,54.1666666666667,48.75,1613.71527777778
84,546.25,741.66,0,1,546.25,141.66,319,212.65,136.3,43478.91,20,25,20.15,1.25,4017.325,10041.1458333333,135.416666666667,108.333333333333,9359.54861111111
85,537.65,825.52,0,1,537.65,225.52,23,114.19,71.95,1654.77,6,8,5.41,1.33,4471.56666666667,10087.7291666667,43.3333333333333,32.5,674.826388888889
86,541.93,1630.37,0,2,541.93,430.37,41,118.76,79.16,3245.48,8,7,7.23,1.14,8831.17083333333,10064.5458333333,43.3333333333333,37.9166666666667,1202.95138888889
87,543.4,1393.85,0,2,543.4,193.85,20,114.36,70.01,1400.2,8,4,5.05,2,7550.02083333333,10056.5833333333,43.3333333333333,21.6666666666667,586.805555555556
88,556.17,1068.63,0,1,556.17,468.63,118,185.18,110.62,13052.84,10,17,12.26,1.7,5788.4125,9987.4125,92.0833333333333,54.1666666666667,3462.15277777778
89,550.5,1124,0,1,550.5,524,36,126.43,82.19,2958.85,7,6,6.77,1.17,6088.33333333333,10018.125,37.9166666666667,32.5,1056.25
90,555.99,827.91,0,1,555.99,227.91,74,150.08,87.48,6473.58,9,14,9.71,1.56,4484.5125,9988.3875,75.8333333333333,48.75,2171.18055555556
91,557.32,1357.77,0,2,557.32,157.77,53,179.04,85.56,4534.67,11,9,8.21,1.22,7354.5875,9981.18333333333,59.5833333333333,48.75,1555.03472222222
92,584.29,1227.7,0,2,584.29,27.7,1034,222.65,159.96,165402.52,38,49,36.28,1.29,6650.04166666667,9835.09583333333,265.416666666667,205.833333333333,30337.8472222222
93,564.66,1174,0,1,564.66,574,29,89.92,67.62,1960.89,7,5,6.08,1.4,6359.16666666667,9941.425,37.9166666666667,27.0833333333333,850.868055555556
94,568.21,858.21,0,1,568.21,258.21,29,94.32,64.74,1877.34,7,6,6.08,1.17,4648.6375,9922.19583333333,37.9166666666667,32.5,850.868055555556
95,574.17,988.49,0,1,574.17,388.49,126,220.11,139.78,17612.1,13,13,12.67,1,5354.32083333333,9889.9125,70.4166666666667,70.4166666666667,3696.875
96,573.32,1139.7,0,1,573.32,539.7,44,119.15,81.07,3567.16,8,8,7.48,1,6173.375,9894.51666666667,43.3333333333333,43.3333333333333,1290.97222222222
97,585.92,1314.33,0,2,585.92,114.33,131,152.49,85.37,11183.75,22,21,12.91,1.05,7119.2875,9826.26666666667,119.166666666667,113.75,3843.57638888889
98,578.38,1626.07,0,2,578.38,426.07,29,96.6,70.31,2039.11,8,6,6.08,1.33,8807.87916666667,9867.10833333333,43.3333333333333,32.5,850.868055555556
99,593.3,993.66,0,1,593.3,393.66,53,140.06,78.39,4154.45,6,13,8.21,2.17,5382.325,9786.29166666667,70.4166666666667,32.5,1555.03472222222
100,604.2,744.35,1,1,4.2,144.35,147,177.53,106.88,15710.99,17,22,13.68,1.29,4031.89583333333,9727.25,119.166666666667,92.0833333333333,4313.02083333333
101,601.17,1332.37,1,2,1.17,132.37,30,184.73,89.43,2682.77,7,7,6.18,1,7217.00416666667,9743.6625,37.9166666666667,37.9166666666667,880.208333333333
102,605.57,1154.05,1,1,5.57,554.05,37,74.5,59.35,2195.78,7,8,6.86,1.14,6251.10416666667,9719.82916666667,43.3333333333333,37.9166666666667,1085.59027777778
103,606.57,1795.17,1,2,6.57,595.17,35,145.89,94.02,3290.54,7,8,6.68,1.14,9723.8375,9714.4125,43.3333333333333,37.9166666666667,1026.90972222222
104,612.39,1191.42,1,1,12.39,591.42,31,105.26,75.47,2339.56,6,7,6.28,1.17,6453.525,9682.8875,37.9166666666667,32.5,909.548611111111
105,612.35,1867.15,1,3,12.35,67.15,26,99.79,66.44,1727.49,7,7,5.75,1,10113.7291666667,9683.10416666667,37.9166666666667,37.9166666666667,762.847222222222
106,613,750.11,1,1,13,150.11,27,96.61,71.41,1928.16,6,6,5.86,1,4063.09583333333,9679.58333333333,32.5,32.5,792.1875
107,613.52,1436.71,1,2,13.52,236.71,21,89.71,63.41,1331.55,5,6,5.17,1.2,7782.17916666667,9676.76666666667,32.5,27.0833333333333,616.145833333333
108,632.72,522.8,1,0,32.72,522.8,149,137.92,76.58,11410.73,7,38,13.77,5.43,2831.83333333333,9572.76666666667,205.833333333333,37.9166666666667,4371.70138888889
109,625.09,809.41,1,1,25.09,209.41,64,150.26,92.86,5943.04,11,14,9.03,1.27,4384.30416666667,9614.09583333333,75.8333333333333,59.5833333333333,1877.77777777778
110,626.64,1204.68,1,2,26.64,4.68,22,97.72,64.1,1410.16,6,5,5.29,1.2,6525.35,9605.7,32.5,27.0833333333333,645.486111111111
111,627.82,831.67,1,1,27.82,231.67,51,101.34,64.18,3273.37,12,5,8.06,2.4,4504.87916666667,9599.30833333333,65,27.0833333333333,1496.35416666667
112,640.52,1685.78,1,2,40.52,485.78,27,84.33,61.63,1664.03,6,6,5.86,1,9131.30833333333,9530.51666666667,32.5,32.5,792.1875
113,646.1,951.77,1,1,46.1,351.77,31,146.24,86.28,2674.71,7,6,6.28,1.17,5155.42083333333,9500.29166666667,37.9166666666667,32.5,909.548611111111
114,648.48,560.09,1,0,48.48,560.09,33,178.62,98.19,3240.31,7,6,6.48,1.17,3033.82083333333,9487.4,37.9166666666667,32.5,968.229166666667
115,649.26,1135.03,1,1,49.26,535.03,31,108.98,76.62,2375.34,7,6,6.28,1.17,6148.07916666667,9483.175,37.9166666666667,32.5,909.548611111111
116,653.71,1301.47,1,2,53.71,101.47,93,152.25,94.68,8805.59,15,11,10.88,1.36,7049.62916666667,9459.07083333333,81.25,59.5833333333333,2728.64583333333
117,657.98,1601.45,1,2,57.98,401.45,64,133.8,81.87,5239.39,9,9,9.03,1,8674.52083333333,9435.94166666667,48.75,48.75,1877.77777777778
118,661.5,1405.88,1,2,61.5,205.88,34,102.17,70.34,2391.62,7,6,6.58,1.17,7615.18333333333,9416.875,37.9166666666667,32.5,997.569444444445
119,684.85,479.54,1,0,84.85,479.54,26,75.82,59.76,1553.88,6,6,5.75,1,2597.50833333333,9290.39583333333,32.5,32.5,762.847222222222
120,689.61,2086.8,1,3,89.61,286.8,70,113.67,77.66,5436.3,12,11,9.44,1.09,11303.5,9264.6125,65,59.5833333333333,2053.81944444444
121,690.1,709.29,1,1,90.1,109.29,21,141.56,86.76,1821.91,7,5,5.17,1.4,3841.9875,9261.95833333333,37.9166666666667,27.0833333333333,616.145833333333
122,690.9,403,1,0,90.9,403,31,136.48,87.83,2722.62,7,5,6.28,1.4,2182.91666666667,9257.625,37.9166666666667,27.0833333333333,909.548611111111
123,692.31,696.84,1,1,92.31,96.84,32,91.63,72.45,2318.36,7,6,6.38,1.17,3774.55,9249.9875,37.9166666666667,32.5,938.888888888889
124,694.24,368.1,1,0,94.24,368.1,29,115.06,66.15,1918.21,10,6,6.08,1.67,1993.875,9239.53333333333,54.1666666666667,32.5,850.868055555556
